,RMSE,MAE,R²
Linear Regression,0.756162166788922,0.5450925874089081,0.5636620078332493
Ridge Regression,0.7555732159759234,0.5454932433737882,0.5643414428779581
Random Forest,0.5151556523770021,0.3357598909669294,0.7974789927552012
XGBoost,0.4750576140445519,0.31264634163182026,0.8277791587137504
